videoId,thumbnail,title,length,views,publish_time
HPjBY1H-U4U,https://i.ytimg.com/vi/HPjBY1H-U4U/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB0iU-Zchegx1tuTrWEmVNE7ZXU1w,TensorFlow Tutorial 2 - Tensor Basics,21:01,"71,775",1 year ago
bljgNwojUUc,https://i.ytimg.com/vi/bljgNwojUUc/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCsNFr4kA9RC8ooCPk300eSnyenag,Zero to Hero with TensorFlow (TF Fall 2020 Updates),15:19,"18,251",1 year ago
CxUc5FJF_9w,https://i.ytimg.com/vi/CxUc5FJF_9w/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDxoohV0OEJ8_-kaxMxWrt_u_jCXw,"TensorFlow in production: TF Extended, TF Hub, and TF Serving (Google I/O '18)",36:49,"13,131",4 years ago
pmsNVyrCh4A,https://i.ytimg.com/vi/pmsNVyrCh4A/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBUBSbuYXb7tcXo7RgRm1b8ltxWdw,High-Level APIs in TensorFlow 2.0 (TensorFlow Meets),4:29,"6,067",3 years ago
_u7AVsxANes,https://i.ytimg.com/vi/_u7AVsxANes/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBDKrWRqmcAqIPrqw4BkDBBCEcEnQ,TensorFlow Tutorial 16 - Custom Training Loops,8:10,"9,852",1 year ago
qTYQEXsBb_E,https://i.ytimg.com/vi/qTYQEXsBb_E/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBvL850XFAaof45Z2vuQmYWztoIQw,TensorFlow Eager Mode,3:20,"14,213",3 years ago
HxtBIwfy0kM,https://i.ytimg.com/vi/HxtBIwfy0kM/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAW1Xi_MuZ-5XW4P8MDipDIoNwpkQ,Saving and Loading Models (Coding TensorFlow),6:53,"139,444",3 years ago
WcZ_1IAH_nM,https://i.ytimg.com/vi/WcZ_1IAH_nM/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBdS7W9nU1U4ner4AQVy5k8H6M5RA,TensorFlow Tutorial 8 - Model Subclassing with Keras,22:59,"22,908",1 year ago
5ECD8J3dvDQ,https://i.ytimg.com/vi/5ECD8J3dvDQ/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB61djnOJn7tteFOTLRgdMVoXXZog,"Introduction to TensorFlow 2.0: Easier for beginners, and more powerful for experts (TF World '19)",40:56,"107,193",2 years ago
jh4ITuOytE4,https://i.ytimg.com/vi/jh4ITuOytE4/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBHr6EIaYhGcVqY8Ywgdk9oNll6ag,AutoGraph: Easy control flow for graphs (TensorFlow Tip of the Week),2:26,"8,529",3 years ago
tjsHSIG8I08,https://i.ytimg.com/vi/tjsHSIG8I08/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBMBtt8XJ_yo3oma85JHqT4LkUZ-Q,Get started with TensorFlow's High-Level APIs (Google I/O '18),39:30,"219,059",4 years ago
FB0Tlxf4mCs,https://i.ytimg.com/vi/FB0Tlxf4mCs/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBulgSTVAKLuDReiJIea5l_z1AAwA,2019 (March) Converting Code to Run on TensorFlow 2.0 (including Keras),16:35,"6,432",3 years ago
