Id,Reputation,TagScore,DisplayName,UpVotes,DownVotes,Views,AccountId
27122,8398,4,dpq,331,9,424,13486
8563092,227,3,TheCrystalShip,68,0,37,11696544
2996348,13,-4,user2996348,0,0,2,3590073
175960,3757,29,Verrtex,24,0,113,879746
12682654,17,1,ChronicleEdge,3,0,10,17490376
12426564,1,0,Skois,0,0,0,16845861
786027,587,56,qwerty,0,0,17,766326
4770849,81,1,Max Farrell,0,0,20,6115739
10891168,41,0,Gal,1,0,9,15091360
10305444,1968,0,Maifee Ul Asad,7839,30,685,14266486
4530605,306,0,Trevor McCormick,31,4,61,5736676
4603458,23,2,gentleoyink,0,0,5,5842249
14195357,1,0,shownik sanyal,0,0,2,19410918
3950533,1836,12,Henry Zhu,566,252,3258,4902890
6256482,5650,4,KenHBS,2694,166,591,8326563
9572201,1,0,Lukas_jwd,0,0,2,13253315
1846301,13,1,jack,0,0,3,2072055
1958260,315,1,Harshit Gupta,55,0,76,2218136
8017946,544,12,Salman Ahmed,20,9,64,10907655
10102441,33,3,BadCoder,1,0,4,13987750
3927455,19,-2,user3927455,0,0,2,4870874
3958473,317,4,user309838,71,0,18,4808982
6051871,109,2,mrser,3,0,19,8024192
1666559,23,0,Yann Lambret,0,0,11,1836224
2032189,1303,2,Rushabh RajeshKumar Padalia,41,4,139,2314905
7895578,1,-1,John,0,0,1,10728872
9885865,7,0,ice578,0,0,38,13700564
6193918,35,-2,pythonprogrammer,3,0,15,8234073
2188865,561,0,MoonHunter,0,0,16,2517888
11309438,5,0,myo-kun,0,0,2,15673684
13536417,129,1,Mahyar Shokraeian,101,0,36,18575660
5956672,1,-2,PythonNewbie,0,0,2,7883753
11475724,61,6,Konstantina Bozionelou,0,0,10,15904046
7750671,15,1,DaLeibniz,5,0,2,10516821
3910324,466,0,Nico,20,2,45,3083879
2025568,17,0,dganchev,0,0,20,2306355
15590183,11,1,pepega,0,0,0,21199208
2204806,1411,15,Stretch,79,0,60,2538334
2225967,1,-2,prosze_wyjsc_z_kosmosu,0,0,5,2565867
9628665,103,0,Wiles Dai,0,0,16,13340204
1918662,416,1,davneetnarang,267,0,94,2165449
1276610,987,1,Grahesh Parkar,60,0,60,1333247
3419818,377,34,Sundancer,19,0,17,4172327
1448906,964,0,a3dsfcv,64,1,126,1558450
9506054,6021,0,Daniel Mana,4,0,145,13160346
7225522,11,0,boaz,0,0,0,9745337
1202443,447,0,spark,3,0,23,1239509
3092868,167,4,Gaddi,15,1,30,3716869
1041950,298,2,Programmer XYZ,37,0,71,1034244
12962535,11,1,Alec Hewitt,0,0,5,14163668
1334519,5,-2,user1499,0,0,7,1407117
12929105,45,0,mf17,7,0,5,17802774
1412689,1732,4,André,97,3,93,1510415
1486759,49,4,user1486759,0,0,5,1606820
10808080,31,-1,giroud13,0,0,19,14971277
918721,53,5,JLK,1,0,50,553295
10980943,21,1,Bene ,0,0,2,15218261
5328766,113,1,Jack Hoff.,0,0,28,6943239
362951,10471,12,mit,1295,338,776,150036
554468,279,6,obelloc,5,0,49,266732
4921109,175,2,Henri,6,0,10,6338349
9064439,31,2,Thodoris Roumanis,4,0,12,12449234
3061124,179,11,akkidukes,32,0,26,3674798
9033426,461,4,Giacomo,146,4,56,12391635
95592,401924,48,Matthew Rankin,3130,14,11739,33990
8932257,11,0,Sumit,0,0,4,12238566
8485046,211,6,Tony,4,0,31,11581194
6141295,41,0,Bob,0,0,23,7017338
13810505,3,0,Ashmit Garg,0,0,2,18927772
8506488,61,2,user8506488,0,0,12,11612733
12226461,111,1,dushyanth,9,0,1,5344278
234232,5345,4,rafak,65,6,156,83584
298551,41,4,Djero,0,0,3,597872
8905840,71,7,John Nicolas,0,0,22,12201724
757376,1915,3,lightningmanic,76,1,149,394762
12376072,1,0,Charlie Cvitkovich,0,0,2,17103528
345600,1418,12,Doug,340,2,195,139782
604065,2457,0,Don Lun,68,1,186,298177
224067,1133,0,nhinkle,347,96,230,78840
2850808,4276,18,Chris,175,2,483,3397619
7032457,464,4,Tom,24,0,92,9457711
4790871,25955,20,David Parks,4181,42,2557,189428
12569888,1,0,JackB226,0,0,1,17351487
8815380,7,0,Michael Costa,0,0,3,12053323
134852,3681,4,ablmf,297,1,415,45709
2637505,95,7,Loyalist1,6,0,16,3116948
12456220,9,0,R. Carlson,0,0,2,9614980
4780650,71,2,tjl,8,0,11,6130170
10550623,93,3,Nilou,10,0,19,14608528
4813627,53,0,OinkOink,19,0,6,5195112
8704696,1,0,Ekansh Maheshwari,0,0,0,11895020
719001,2027,-1,Nir,2,0,214,370815
2126962,43,4,Tasneem HamedAlneel,4,0,8,2437429
15649674,1,0,BenG,0,0,0,21270002
10224336,61,6,Leung Ka Chun,0,0,3,14152788
4265632,121,5,Franklin Varghese,12,0,51,5351649
6312336,25,1,Ben Hanson,4,0,6,8410091
6080904,268,6,Abhishek K,49,0,38,8067110
4360034,853,4,Steg Verner,115,0,102,5484905
4048081,154,5,Ala Ham,5,2,13,5040541
6186746,81,0,ESRISM,4,0,22,8223904
3672778,45,2,jlzizmor,0,0,13,4518812
7627304,3,0,Kenji,0,0,5,10340912
9598006,1,0,Avi Athota,0,0,10,13294544
9969356,716,4,Zachary Oldham,37,8,57,13811778
1757333,2309,2,yalkris,414,5,276,1953817
9653314,61,0,jlakes85,4,0,6,13376602
9749342,11,0,Applex007,0,0,0,13514097
1657827,2461,10,VeilEclipse,163,6,198,1824699
11343149,23,0,helena,1,0,10,15719977
1680980,197,4,Stephen,21,0,29,1855244
9547620,21,0,AndrewWilliams,0,0,37,13220785
11557954,23,0,Ji Tiantian,0,0,388,16014960
5917999,922,8,R overflow,289,8,271,7826680
2080641,225,4,Archarachne,250,0,47,2377787
3642179,3,0,user3642179,0,0,0,4477409
7492381,143,11,mrb28830,2,0,29,10143429
3581485,5067,8,Luke,514,56,351,4393792
9476699,1,-2,Carson Bennett,0,0,2,13118317
5833932,310,4,morea030,142,0,41,7701565
